Rank,Movie Title,Opening,Total_Gross,Weekend_vs_Total,Theaters,Distributor,Average,Year
485,Air Force One,37132505,172956409,21.5,2919,Sony Pictures Releasing,12720,1997
486,S.W.A.T.,37062535,116934650,31.7,3202,Sony Pictures Releasing,11574,2003
487,Oblivion,37054485,89107235,41.6,3783,Universal Pictures,9795,2013
488,Maleficent: Mistress of Evil,36948713,113929605,32.4,3790,Walt Disney Studios Motion Pictures,9749,2019
489,Red Dragon,36540945,93149898,39.2,3357,Universal Pictures,10885,2002
490,Cowboys & Aliens,36431290,100240551,36.3,3750,Universal Pictures,9715,2011
491,Freddy vs. Jason,36400000,82622655,44.1,3014,New Line Cinema,12076,2003
492,Interview with the Vampire,36389705,105264608,34.6,2604,Warner Bros.,13974,1994
493,Marley & Me,36357586,143153751,25.4,3480,Twentieth Century Fox,10447,2008
494,21 Jump Street,36302612,138447667,26.2,3121,Sony Pictures Releasing,11631,2012
495,Kingsman: The Secret Service,36206331,128261724,28.2,3204,Twentieth Century Fox,11300,2015
496,Jumanji: Welcome to the Jungle,36169328,404515480,8.9,3765,Sony Pictures Releasing,9606,2017
497,Alien: Covenant,36160621,74262031,48.7,3761,Twentieth Century Fox,9614,2017
498,Ocean's Thirteen,36133403,117154724,30.8,3565,Warner Bros.,10135,2007
499,Dumb and Dumber To,36111775,86208010,41.9,3154,Universal Pictures,11449,2014
500,Armageddon,36089972,201578182,17.9,3127,Walt Disney Studios Motion Pictures,11541,1998
501,The Scorpion King,36075875,91047077,39.6,3444,Universal Pictures,10474,2002
502,Robin Hood,36063385,105269730,34.3,3503,Universal Pictures,10295,2010
503,Robots,36045301,128200012,28.1,3776,Twentieth Century Fox,9545,2005
504,The Equalizer 2,36011640,102084362,35.3,3388,Sony Pictures Releasing,10629,2018
505,Salt,36011243,118311368,30.4,3612,Sony Pictures Releasing,9969,2010
506,Dog Man,36001940,97970355,36.8,3885,Universal Pictures,9266,2025
507,Star Wars: Episode IV - A New Hope,35906661,138257865,26,2104,Twentieth Century Fox,17065,1997
508,"10,000 BC",35867488,94784201,37.8,3410,Warner Bros.,10518,2008
509,The Wild Robot,35790150,143901945,24.9,3962,Universal Pictures,9033,2024
510,Rampage,35753093,101028233,35.4,4101,Warner Bros.,8718,2018
511,Minority Report,35677125,132072926,27,3001,Twentieth Century Fox,11888,2002
512,Sweet Home Alabama,35648740,127223418,28,3293,Walt Disney Studios Motion Pictures,10825,2002
513,The Smurfs,35611637,142614158,25,3395,Sony Pictures Releasing,10489,2011
514,Creed II,35574710,115715889,30.7,3441,Metro-Goldwyn-Mayer (MGM),10338,2018
515,Battle Los Angeles,35573187,83552429,42.6,3417,Sony Pictures Releasing,10410,2011
516,The Other Guys,35543162,119219978,29.8,3651,Sony Pictures Releasing,9735,2010
517,Central Intelligence,35535250,127440871,27.9,3508,Warner Bros.,10129,2016
518,The World Is Not Enough,35519007,126943684,28,3163,Metro-Goldwyn-Mayer (MGM),11229,1999
519,Super 8,35451168,127004179,27.9,3379,Paramount Pictures,10491,2011
520,Mufasa: The Lion King,35409365,254567693,13.9,4100,Walt Disney Studios Motion Pictures,8636,2024
521,Spider-Man: Into the Spider-Verse,35363376,190241310,18.6,3813,Sony Pictures Releasing,9274,2018
522,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,82051601,43,4071,Paramount Pictures,8675,2016
523,Lilo & Stitch,35260212,145794338,24.2,3191,Walt Disney Studios Motion Pictures,11049,2002
524,Sing,35258145,270395425,13,4022,Universal Pictures,8766,2016
525,Ride Along 2,35243095,91221830,38.6,3175,Universal Pictures,11100,2016
526,National Treasure,35142554,173008894,20.3,3017,Walt Disney Studios Motion Pictures,11648,2004
527,The Ring Two,35065237,76231249,46,3332,DreamWorks Distribution,10523,2005
528,Runaway Bride,35055556,152257509,23,3158,Paramount Pictures,11100,1999
529,Sully,35028301,125070033,28,3525,Warner Bros.,9937,2016
530,Jungle Cruise,35018731,116987516,29.9,4310,Walt Disney Studios Motion Pictures,8124,2021
531,Annabelle: Creation,35006404,102092201,34.3,3502,Warner Bros.,9996,2017
532,Mamma Mia! Here We Go Again,34952180,120634935,29,3317,Universal Pictures,10537,2018
533,The Expendables,34825135,103068524,33.8,3270,Lionsgate,10649,2010
534,Gladiator,34819017,187705427,18.6,2938,DreamWorks Distribution,11851,2000
535,Scream 3,34713342,89143175,38.9,3467,Dimension Films,10012,2000
536,The Magnificent Seven,34703397,93432655,37.1,3674,Sony Pictures Releasing,9445,2016
537,The Equalizer 3,34604229,92373751,37.5,3965,Columbia Pictures,8727,2023
538,Identity Thief,34551025,134506920,25.7,3141,Universal Pictures,11000,2013
539,Hellboy II: The Golden Army,34539115,75986503,45.4,3204,Universal Pictures,10779,2008
540,Enchanted,34440317,127807262,27,3730,Walt Disney Studios Motion Pictures,9233,2007
541,Couples Retreat,34286740,109204945,31.4,3000,Universal Pictures,11428,2009
542,Sausage Party,34263534,97685686,35.1,3103,Sony Pictures Releasing,11042,2016
543,I Now Pronounce You Chuck & Larry,34233750,120059556,28.5,3495,Universal Pictures,9795,2007
544,Tarzan,34221968,171091819,20,3005,Walt Disney Studios Motion Pictures,11388,1999
545,Ransom,34216088,136492681,25.1,2676,Walt Disney Studios Motion Pictures,12786,1996
546,Norbit,34195434,95673607,35.7,3136,DreamWorks,10904,2007
547,The Equalizer,34137828,101530738,33.6,3236,Sony Pictures Releasing,10549,2014
548,The Blind Side,34119372,255959475,13.3,3110,Warner Bros.,10970,2009
549,The Lego Movie 2: The Second Part,34115335,105806508,32.2,4303,Warner Bros.,7928,2019
550,Puss in Boots,34077439,149260504,22.8,3952,DreamWorks,8622,2011
551,Taylor Swift: The Official Release Party of a Showgirl,34062774,34062774,100,3702,AMC Theatres,9201,2025
552,The Purge,34058360,64473115,52.8,2536,Universal Pictures,13429,2013
553,Lethal Weapon 4,34048124,130444603,26.1,3117,Warner Bros.,10923,1998
554,Cloudy with a Chance of Meatballs 2,34017930,119793567,28.4,4001,Sony Pictures Releasing,8502,2013
555,Get Hard,33803253,90411453,37.4,3175,Warner Bros.,10646,2015
556,The Devil Inside,33732515,53261944,63.3,2285,Paramount Pictures,14762,2012
557,IF,33715801,111375918,30.3,4041,Paramount Pictures,8343,2024
558,Think Like a Man,33636303,91547205,36.7,2015,Screen Gems,16692,2012
559,The Proposal,33627598,163958031,20.5,3056,Walt Disney Studios Motion Pictures,11003,2009
560,What Women Want,33614543,182811707,18.4,3012,Paramount Pictures,11160,2000
561,Saw III,33610391,80238724,41.9,3167,Lionsgate,10612,2006
562,Epic,33531068,107518682,31.2,3882,Twentieth Century Fox,8637,2013
563,The Green Hornet,33526876,98780042,33.9,3584,Sony Pictures Releasing,9354,2011
564,Ted 2,33507870,81476385,41.1,3442,Universal Pictures,9735,2015
565,101 Dalmatians,33504025,136189294,24.6,2794,Walt Disney Studios Motion Pictures,11991,1996
566,Wrath of the Titans,33457188,83670083,40,3545,Warner Bros.,9437,2012
567,The Haunting,33435140,91411151,36.6,2808,DreamWorks Distribution,11907,1999
568,Get Out,33377060,176040665,19,2781,Universal Pictures,12001,2017
569,Live Free or Die Hard,33369559,134529403,24.8,3408,Twentieth Century Fox,9791,2007
570,American Wedding,33369440,104565114,31.9,3172,Universal Pictures,10520,2003
571,Lethal Weapon 3,33243086,144731527,23,2510,Warner Bros.,13244,1992
572,Tron: Ares,33241433,57762923,57.6,4000,Walt Disney Studios Motion Pictures,8310,2025
573,Hustlers,33181361,104963598,31.6,3250,STX Entertainment,10209,2019
574,A Wrinkle in Time,33123609,100478608,33,3980,Walt Disney Studios Motion Pictures,8322,2018
575,Superbad,33052411,121463226,27.2,2948,Sony Pictures Releasing,11211,2007
576,Tomorrowland,33028165,93436322,35.4,3972,Walt Disney Studios Motion Pictures,8315,2015
577,Blades of Glory,33014202,118594548,27.8,3372,DreamWorks,9790,2007
578,Insidious: The Red Door,33013036,82156962,40.2,3188,Screen Gems,10355,2023
579,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,33010017,84158461,39.2,4236,Warner Bros.,7792,2020
580,Rush Hour,33001803,141186864,23.4,2638,New Line Cinema,12510,1998
581,Scream 2,32926342,101363301,32.5,2663,Dimension Films,12364,1997
582,A Nightmare on Elm Street,32902299,63075011,52.2,3332,Warner Bros.,9874,2010
583,X-Men: Dark Phoenix,32828348,65845974,49.9,3721,Twentieth Century Fox,8822,2019
584,The Book of Eli,32789494,94835059,34.6,3111,Warner Bros.,10539,2010
585,Blade Runner 2049,32753122,92054159,35.6,4058,Warner Bros.,8071,2017
586,Where the Wild Things Are,32695407,77233467,42.3,3735,Warner Bros.,8753,2009
587,Due Date,32689406,100539043,32.5,3355,Warner Bros.,9743,2010
588,The Nun II,32603336,86267073,37.8,3728,Warner Bros.,8745,2023
589,Blade II,32528016,82348319,39.5,2707,New Line Cinema,12016,2002
590,The Maze Runner,32512804,102427862,31.7,3604,Twentieth Century Fox,9021,2014
591,Spy Kids 3: Game Over,32500000,111761982,29.1,3344,Dimension Films,9718,2003
592,Hannah Montana: The Movie,32324487,79576189,40.6,3118,Walt Disney Studios Motion Pictures,10367,2009
593,Mr. Peabody & Sherman,32207057,111506430,28.9,3934,Twentieth Century Fox,8186,2014
594,Immortals,32206425,83504017,38.6,3112,Relativity Media,10349,2011
595,Wedding Crashers,32200000,209255921,15.4,2925,New Line Cinema,11008,2005
596,Red One,32106112,97000759,33.1,4032,Amazon MGM Studios,7962,2024
597,Elf,32100000,173398518,18.5,3337,New Line Cinema,9619,2003
598,Jackass Presents: Bad Grandpa,32055177,102003019,31.4,3336,Paramount Pictures,9608,2013
599,The SpongeBob SquarePants Movie,32018216,85417988,37.5,3212,Paramount Pictures,9968,2004
600,Paul Blart: Mall Cop,31832636,146336178,21.8,3144,Sony Pictures Releasing,10124,2009
601,Terminator 2: Judgment Day,31765506,204843345,15.5,2274,TriStar Pictures,13969,1991
602,Saw IV,31756764,63300095,50.2,3183,Lionsgate,9976,2007
603,Saw II,31725652,87039965,36.4,2949,Lionsgate,10758,2005
604,G-Force,31706934,119436770,26.6,3697,Walt Disney Studios Motion Pictures,8576,2009
605,The Mummy,31688375,80227895,39.5,4035,Universal Pictures,7853,2017
606,Godzilla vs. Kong,31625971,100916094,31.3,3064,Warner Bros.,10321,2021
607,Bad Teacher,31603106,100292856,31.5,3049,Sony Pictures Releasing,10365,2011
608,The Truman Show,31542121,125618201,25.1,2315,Paramount Pictures,13625,1998
609,The Purge: Election Year,31515110,79213375,39.8,2796,Universal Pictures,11271,2016
610,The Wolfman,31479235,61979680,50.8,3222,Universal Pictures,9770,2010
611,Ford v Ferrari,31474958,117624357,26.8,3528,Twentieth Century Fox,8921,2019
612,Liar Liar,31423025,181410615,17.3,2845,Universal Pictures,11045,1997
613,Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,35.2,3356,Twentieth Century Fox,9307,2010
614,Elvis,31211579,151040048,20.7,3906,Warner Bros.,7990,2022
615,Girls Trip,31201920,115171585,27.1,2591,Universal Pictures,12042,2017
616,Evan Almighty,31192615,100462298,31,3604,Universal Pictures,8654,2007
617,The Sum of All Fears,31178526,118907036,26.2,3183,Paramount Pictures,9795,2002
618,Home Alone 2: Lost in New York,31126882,173585516,17.9,2222,Twentieth Century Fox,14008,1992
619,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,47.7,683,Walt Disney Studios Motion Pictures,45560,2008
620,Bringing Down the House,31101026,132716677,23.4,2801,Walt Disney Studios Motion Pictures,11103,2003
621,Four Christmases,31069826,120146040,25.9,3310,Warner Bros.,9386,2008
622,Space Jam: A New Legacy,31053362,70592228,44,3965,Warner Bros.,7831,2021
623,Into the Woods,31051923,128002372,24.3,2440,Walt Disney Studios Motion Pictures,12726,2014
624,Pok?mon: The First Movie - Mewtwo Strikes Back,31036678,85744662,36.2,3043,Warner Bros.,10199,1999
625,Downton Abbey,31033665,96853865,32,3079,Focus Features,10079,2019
626,Sex and the City 2,31001870,95347692,32.5,3445,Warner Bros.,8999,2010
627,Step Brothers,30940732,100468793,30.8,3094,Sony Pictures Releasing,10000,2008
628,Little Fockers,30833665,148438600,20.8,3536,Universal Pictures,8719,2010
629,Star Trek: First Contact,30716131,92027888,33.4,2812,Paramount Pictures,10923,1996
630,Knocked Up,30690990,148768917,20.6,2871,Universal Pictures,10690,2007
631,The Dukes of Hazzard,30675314,80270227,38.2,3785,Warner Bros.,8104,2005
632,Unbroken,30621445,115637895,26.5,3131,Universal Pictures,9780,2014
633,Br?no,30619130,60054530,51,2756,Universal Pictures,11109,2009
634,Saving Private Ryan,30576104,216540909,14.1,2463,DreamWorks Distribution,12414,1998
635,The Pacifier,30552694,113086868,27,3131,Walt Disney Studios Motion Pictures,9758,2005
636,Dracula,30521679,82522790,37,2491,Columbia Pictures,12252,1992
637,The Happening,30517109,64506874,47.3,2986,Twentieth Century Fox,10220,2008
638,Just Go with It,30514732,103028109,29.6,3548,Sony Pictures Releasing,8600,2011
639,The Day the Earth Stood Still,30480153,79366978,38.4,3560,Twentieth Century Fox,8561,2008
640,Dear John,30468614,80014842,38.1,2969,Screen Gems,10262,2010
641,The Lost City,30453269,105344029,28.9,4253,Paramount Pictures,7160,2022
642,John Wick: Chapter 2,30436123,92029184,33.1,3113,Lionsgate,9777,2017
643,Night at the Museum,30433781,250863268,12.1,3685,Twentieth Century Fox,8258,2006
644,M3GAN,30429860,95159005,32,3509,Universal Pictures,8671,2023
645,Olympus Has Fallen,30373794,98925640,30.7,3098,FilmDistrict,9804,2013
646,Unbreakable,30330771,95011339,31.9,2708,Walt Disney Studios Motion Pictures,11200,2000
647,Maze Runner: The Scorch Trials,30316510,81697192,37.1,3791,Twentieth Century Fox,7996,2015
648,Cloudy with a Chance of Meatballs,30304648,124870275,24.3,3119,Sony Pictures Releasing,9716,2009
649,The Addams Family,30300007,100044905,30.3,4007,United Artists Releasing,7561,2019
650,America's Sweethearts,30181877,93607673,32.2,3011,Revolution Studios,10023,2001
651,John Carter,30180188,73078100,41.3,3749,Walt Disney Studios Motion Pictures,8050,2012
652,The Lion King,30151614,94242001,32,2330,Walt Disney Studios Motion Pictures,12940,2011
653,The X Files,30138758,83898313,35.9,2629,Twentieth Century Fox,11463,1998
654,Django Unchained,30122888,162805434,18.5,3010,The Weinstein Company,10007,2012
655,Shazam! Fury of the Gods,30111158,57638006,52.2,4071,Warner Bros.,7396,2023
656,The Best Man Holiday,30107555,70525195,42.7,2024,Universal Pictures,14875,2013
657,Trainwreck,30097040,110212700,27.3,3158,Universal Pictures,9530,2015
658,Prince of Persia: The Sands of Time,30095259,90759676,33.2,3646,Walt Disney Studios Motion Pictures,8254,2010
659,Dodgeball: A True Underdog Story,30070196,114326736,26.3,2694,Twentieth Century Fox,11161,2004
660,A Series of Unfortunate Events,30061756,118634549,25.3,3620,Paramount Pictures,8304,2004
661,Sleepy Hollow,30060467,101071502,29.7,3064,Paramount Pictures,9810,1999
662,Panic Room,30056751,96397334,31.2,3053,Sony Pictures Releasing,9844,2002
663,The Exorcism of Emily Rose,30054300,75072454,40,2981,Screen Gems,10081,2005
664,Saw V,30053954,56746769,53,3060,Lionsgate,9821,2008
665,Catch Me If You Can,30053627,164615351,18.3,3156,DreamWorks Distribution,9522,2002
666,A Christmas Carol,30051075,137855863,21.8,3683,Walt Disney Studios Motion Pictures,8159,2009
667,Men in Black: International,30035838,80001807,37.5,4224,Sony Pictures Releasing,7110,2019
668,Madea's Family Reunion,30030661,63257940,47.5,2194,Lionsgate,13687,2006
669,Bullet Train,30030156,103368602,29,4357,Sony Pictures Releasing,6892,2022
670,Scream,30018805,81641405,36.8,3664,Paramount Pictures,8192,2022
671,28 Years Later,30002966,70446897,42.6,3444,Sony Pictures Releasing,8711,2025
672,Meg 2: The Trench,30002735,82600317,36.3,3503,Warner Bros.,8564,2023
673,Trolls Band Together,30002525,103270155,29,3870,Universal Pictures,7752,2023
674,The Purge: Anarchy,29816675,71962800,41.4,2805,Universal Pictures,10629,2014
675,Elysium,29807393,93050117,32,3284,TriStar Pictures,9076,2013
676,Hercules,29800263,72688614,41,3595,Paramount Pictures,8289,2014
677,Constantine,29769098,75976178,39.2,3006,Warner Bros.,9903,2005
678,What Lies Beneath,29702959,155464351,19.1,2813,DreamWorks Distribution,10559,2000
679,The Flintstones,29688730,130531208,22.7,2498,Universal Pictures,11885,1994
680,Dark Shadows,29685274,79727149,37.2,3755,Warner Bros.,7905,2012
681,Daddy's Home 2,29651193,104029443,28.5,3575,Paramount Pictures,8294,2017
682,Creed,29632823,109767581,27,3404,Warner Bros.,8705,2015
683,Elemental,29602429,154426697,19.2,4035,Walt Disney Studios Motion Pictures,7336,2023
684,Insidious: The Last Key,29581355,67745330,43.7,3116,Universal Pictures,9493,2018
685,Justin Bieber: Never Say Never,29514054,73013910,40.4,3105,Paramount Pictures,9505,2011
686,Ghostbusters II,29472894,112494738,26.2,2410,Columbia Pictures,12229,1989
687,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,35,3312,Warner Bros.,8888,2004
688,Indiana Jones and the Last Crusade,29355021,197171806,14.9,2327,Paramount Pictures,12614,1989
689,A.I. Artificial Intelligence,29352630,78616689,37.3,3242,Warner Bros.,9053,2001
690,Now You See Me,29350389,117723989,24.9,2925,Lionsgate,10034,2013
691,Beverly Hills Chihuahua,29300465,94514402,31,3215,Walt Disney Studios Motion Pictures,9113,2008
692,Why Did I Get Married Too?,29289537,60095852,48.7,2155,Lionsgate,13591,2010
693,Think Like a Man Too,29241911,65182182,44.9,2225,Screen Gems,13142,2014
694,The Muppets,29239026,88631237,33,3440,Walt Disney Studios Motion Pictures,8499,2011
695,The Lone Ranger,29210849,89302115,32.7,3904,Walt Disney Studios Motion Pictures,7482,2013
696,Eagle Eye,29150721,101440743,28.7,3510,DreamWorks,8305,2008
697,Toy Story,29140617,191796233,15.2,2457,Walt Disney Studios Motion Pictures,11860,1995
698,The Texas Chainsaw Massacre,29100000,80571655,36.1,3016,New Line Cinema,9648,2003
699,Spy,29085719,110825712,26.2,3711,Twentieth Century Fox,7837,2015
700,Terminator: Dark Fate,29033832,62253077,46.6,4086,Paramount Pictures,7105,2019
701,The Divergent Series: Allegiant,29027348,66184051,43.9,3740,Lionsgate,7761,2016
702,Doctor Dolittle,29014324,144156605,20.1,2777,Twentieth Century Fox,10448,1998
703,The Santa Clause 2,29008696,139236327,20.8,3350,Walt Disney Studios Motion Pictures,8659,2002
704,Paranormal Activity 4,29003866,53885000,53.8,3412,Paramount Pictures,8500,2012
705,Jackass Number Two,29002002,72778712,39.8,3059,Paramount Pictures,9480,2006
706,Inside Man,28954945,88513495,32.7,2818,Universal Pictures,10274,2006
707,Cast Away,28883406,233632142,12.4,2774,Twentieth Century Fox,10412,2000
708,Non-Stop,28875635,92168600,31.3,3090,Universal Pictures,9344,2014
709,Miss Peregrine's Home for Peculiar Children,28871140,87242834,33.1,3522,Twentieth Century Fox,8197,2016
710,Edge of Tomorrow,28760246,100206256,28.7,3490,Warner Bros.,8240,2014
711,Murder on the Orient Express,28681472,102826543,27.9,3341,Twentieth Century Fox,8584,2017
712,Bob Marley: One Love,28659004,96981216,29.6,3539,Paramount Pictures,8098,2024
713,Titanic,28638131,600683057,4.8,2674,Paramount Pictures,10709,1997
714,Mean Girls,28635307,72581770,39.4,3791,Paramount Pictures,7553,2024
715,Meet the Parents,28623300,166244045,17.2,2614,Universal Pictures,10950,2000
716,Obsessed,28612730,68261644,41.9,2514,Screen Gems,11381,2009
717,The Expendables 2,28591370,85028192,33.6,3316,Lionsgate,8622,2012
718,Freakier Friday,28583167,94185092,30.4,3975,Walt Disney Studios Motion Pictures,7190,2025
719,Alita: Battle Angel,28525613,85838210,33.2,3790,Twentieth Century Fox,7526,2019
720,Boo! A Madea Halloween,28501448,73206343,38.9,2260,Lionsgate,12611,2016
721,Anchorman: The Legend of Ron Burgundy,28416365,85288303,33.3,3091,DreamWorks Distribution,9193,2004
722,Mama,28402310,71628180,39.6,2647,Universal Pictures,10730,2013
723,Free Guy,28365416,121626598,23.3,4165,20th Century Studios,6810,2021
724,Nacho Libre,28309599,80197993,35.3,3070,Paramount Pictures,9221,2006
725,Horrible Bosses,28302165,117538559,24.1,3040,Warner Bros.,9309,2011
726,The Invisible Man,28205665,70410000,40.1,3610,Universal Pictures,7813,2020
727,Erin Brockovich,28138465,125595205,22.4,2848,Universal Pictures,9880,2000
728,Pacific Rim: Uprising,28116535,59874525,47,3708,Universal Pictures,7582,2018
729,Starsky & Hutch,28103367,88237754,31.8,3185,Warner Bros.,8823,2004
730,Sin City,28100000,74103820,37.9,3230,Dimension Films,8699,2005
731,Teenage Mutant Ninja Turtles: Mutant Mayhem,28007544,118700272,23.6,3858,Paramount Pictures,7259,2023
732,Back to the Future Part II,27835125,118811197,23.4,1865,Universal Pictures,14925,1989
733,Hairspray,27800000,118871849,23.4,3121,New Line Cinema,8907,2007
734,The Matrix,27788331,171479930,16.2,2849,Warner Bros.,9753,1999
735,He's Just Not That Into You,27785487,93953653,29.6,3175,Warner Bros.,8751,2009
736,Mamma Mia!,27751240,144290968,19.2,2976,Universal Pictures,9325,2008
737,The Fall Guy,27747035,92900355,29.9,4002,Universal Pictures,6933,2024
738,Big Momma's House 2,27736056,70165972,39.5,3261,Twentieth Century Fox,8505,2006
739,Jarhead,27726210,62658220,44.2,2411,Universal Pictures,11499,2005
