Rank,Movie Title,Opening,Total_Gross,Weekend_vs_Total,Theaters,Distributor,Average,Year
740,Along Came Polly,27721185,88097164,31.5,2984,Universal Pictures,9289,2004
741,Wild Wild West,27687484,113804681,24.3,3342,Warner Bros.,8284,1999
742,Aquaman and the Lost Kingdom,27686211,124481226,22.2,3706,Warner Bros.,7470,2023
743,Daddy Day Care,27623580,104297061,26.5,3370,Revolution Studios,8196,2003
744,The Ugly Truth,27605576,88915214,31,2882,Sony Pictures Releasing,9578,2009
745,Cheaper by the Dozen,27557647,138614544,19.9,3298,Twentieth Century Fox,8355,2003
746,Wonder,27547866,132422809,20.8,3096,Lionsgate,8897,2017
747,The Devil Wears Prada,27537244,124740460,22.1,2847,Twentieth Century Fox,9672,2006
748,Space Jam,27528529,90418342,30.4,2650,Warner Bros.,10388,1996
749,After Earth,27520040,60522097,45.5,3401,Sony Pictures Releasing,8091,2013
750,Beowulf,27515871,82280579,33.4,3153,Paramount Pictures,8726,2007
751,42,27487144,95020213,28.9,3003,Warner Bros.,9153,2013
752,Bedtime Stories,27450296,110101975,24.9,3681,Walt Disney Studios Motion Pictures,7457,2008
753,The Final Destination,27408309,66477700,41.2,3121,Warner Bros.,8781,2009
754,Jumper,27354808,80172128,34.1,3428,Twentieth Century Fox,7979,2008
755,Journey 2: The Mysterious Island,27335363,103860290,26.3,3470,Warner Bros.,7877,2012
756,Black Phone 2,27332040,34394545,79.5,3411,Universal Pictures,8012,2025
757,The Rugrats Movie,27321470,100494675,27.2,2782,Paramount Pictures,9820,1998
758,Real Steel,27319677,85468508,32,3440,Walt Disney Studios Motion Pictures,7941,2011
759,Les Mis?rables,27281735,148809770,18.3,2814,Universal Pictures,9695,2012
760,Night School,27257615,77339130,35.2,3010,Universal Pictures,9055,2018
761,Encanto,27206494,96093622,28.3,3980,Walt Disney Studios Motion Pictures,6835,2021
762,Jack the Giant Slayer,27202226,65187603,41.7,3525,Warner Bros.,7716,2013
763,The Bourne Identity,27118640,121661683,22.3,2638,Universal Pictures,10280,2002
764,A Madea Family Funeral,27062332,73257045,36.9,2442,Lionsgate,11082,2019
765,2 Guns,27059130,75612460,35.8,3025,Universal Pictures,8945,2013
766,Terminator Genisys,27018486,89760956,30.1,3758,Paramount Pictures,7189,2015
767,Ender's Game,27017351,61737191,43.8,3407,Lionsgate,7929,2013
768,The Departed,26887467,132384315,20.3,3017,Warner Bros.,8911,2006
769,Alice Through the Looking Glass,26858726,77041381,34.9,3763,Walt Disney Studios Motion Pictures,7137,2016
770,Underworld: Evolution,26857181,62318875,43.1,3207,Screen Gems,8374,2006
771,The Curious Case of Benjamin Button,26853816,127509326,21.1,2988,Paramount Pictures,8987,2008
772,Zombieland: Double Tap,26803104,73123082,36.6,3468,Sony Pictures Releasing,7728,2019
773,Knives Out,26769548,165363234,16.2,3461,Lionsgate,7734,2019
774,Flubber,26725207,92977226,28.7,2641,Walt Disney Studios Motion Pictures,10119,1997
775,Dawn of the Dead,26722575,59020957,45.3,2745,Universal Pictures,9735,2004
776,The Sixth Sense,26681262,293506292,9.1,2161,Walt Disney Studios Motion Pictures,12346,1999
777,Resident Evil: Afterlife,26650264,60128566,44.3,3203,Screen Gems,8320,2010
778,The House with a Clock in Its Walls,26608020,68549695,38.8,3592,Universal Pictures,7407,2018
779,The Campaign,26588460,86907746,30.6,3205,Warner Bros.,8295,2012
780,Spy Kids,26546881,112719001,23.6,3104,Miramax,8552,2001
781,The Pursuit of Happyness,26541709,163566459,16.2,2852,Sony Pictures Releasing,9306,2006
782,Crazy Rich Asians,26510140,174532921,15.2,3384,Warner Bros.,7833,2018
783,The Exorcist: Believer,26497600,65537395,40.4,3663,Universal Pictures,7233,2023
784,Borat,26455463,128505958,20.6,837,Twentieth Century Fox,31607,2006
785,All Eyez on Me,26435354,44922302,58.8,2471,Lionsgate,10698,2017
786,We're the Millers,26419396,150394119,17.6,3260,Warner Bros.,8104,2013
787,Hollow Man,26414386,73209340,36.1,2956,Sony Pictures Releasing,8935,2000
788,Don't Breathe,26411706,89217875,29.6,3051,Screen Gems,8656,2016
789,Halloween,26362367,58272029,45.2,3472,Metro-Goldwyn-Mayer (MGM),7592,2007
790,Beverly Hills Cop II,26348555,153665036,17.2,2326,Paramount Pictures,11327,1987
791,The Curse of La Llorona,26347631,54733739,48.1,3372,Warner Bros.,7813,2019
792,Furiosa: A Mad Max Saga,26326462,67475791,39,3804,Warner Bros.,6920,2024
793,Bridesmaids,26247410,169106725,15.5,2918,Universal Pictures,8995,2011
794,Anchorman 2: The Legend Continues,26232425,125168368,21,3507,Paramount Pictures,7480,2013
795,Bolt,26223128,114053579,23,3651,Walt Disney Studios Motion Pictures,7182,2008
796,The Suicide Squad,26205415,55817425,47,4002,Warner Bros.,6548,2021
797,GoldenEye,26205007,106429941,24.6,2667,Metro-Goldwyn-Mayer (MGM),9825,1995
798,The Golden Compass,26125000,70107728,37.3,3528,New Line Cinema,7405,2007
799,The Help,26044590,169708112,15.4,2534,Walt Disney Studios Motion Pictures,10278,2011
800,Happy Death Day,26039025,55683845,46.8,3149,Universal Pictures,8268,2017
801,The Perfect Guy,25888154,57027435,45.4,2221,Screen Gems,11656,2015
802,True Lies,25869770,146282411,17.7,2368,Twentieth Century Fox,10924,1994
803,Tropic Thunder,25812796,110515313,23.4,3319,DreamWorks,7777,2008
804,Evil Dead,25775847,54239856,47.5,3025,TriStar Pictures,8520,2013
805,Rocketman,25725722,96368160,26.7,3610,Paramount Pictures,7126,2019
806,Miami Vice,25723815,63450470,40.5,3021,Universal Pictures,8515,2006
807,Captain Phillips,25718314,107100855,24,3020,Sony Pictures Releasing,8515,2013
808,Fantastic Four,25685737,56117548,45.8,3995,Twentieth Century Fox,6429,2015
809,The A-Team,25669455,77222099,33.2,3535,Twentieth Century Fox,7261,2010
810,Big Momma's House,25661041,117559438,21.8,2802,Twentieth Century Fox,9158,2000
811,About Last Night,25649011,48637684,52.7,2253,Screen Gems,11384,2014
812,V for Vendetta,25642340,70511035,36.4,3365,Warner Bros.,7620,2006
813,Robin Hood: Prince of Thieves,25625602,165493908,15.5,2369,Warner Bros.,10817,1991
814,Son of God,25601865,59700064,42.9,3260,Twentieth Century Fox,7853,2014
815,Kill Bill: Vol. 2,25600000,66208183,38.7,2971,Miramax,8616,2004
816,Total Recall,25577758,58877969,43.4,3601,Sony Pictures Releasing,7102,2012
817,Civil War,25537368,68756072,37.1,3838,A24,6653,2024
818,Battleship,25534825,65422625,39,3690,Universal Pictures,6920,2012
819,Total Recall,25533700,119394840,21.4,2060,Sony Pictures Releasing,12395,1990
820,Star Wars: Episode III - Revenge of the Sith,25495049,34107714,74.8,2800,Walt Disney Studios Motion Pictures,9105,2025
821,Penguins of Madagascar,25447444,83850911,30.4,3764,Twentieth Century Fox,6760,2014
822,The Visit,25427560,65206105,39,3069,Universal Pictures,8285,2015
823,The Nutty Professor,25411725,128814019,19.7,2115,Universal Pictures,12015,1996
824,The Firm,25400000,158348367,16,2393,Paramount Pictures,10614,1993
825,Teenage Mutant Ninja Turtles,25398367,135265915,18.8,2006,New Line Cinema,12661,1990
826,Madea's Witness Protection,25390575,65653242,38.7,2161,Lionsgate,11749,2012
827,Gnomeo & Juliet,25356909,99967670,25.4,2994,Walt Disney Studios Motion Pictures,8469,2011
828,Apollo 13,25353380,172071312,14.7,2197,Universal Pictures,11540,1995
829,Indiana Jones and the Temple of Doom,25337110,179870271,14.1,1687,Paramount Pictures,15019,1984
830,Gone in 60 Seconds,25336048,101648571,24.9,3006,Walt Disney Studios Motion Pictures,8428,2000
831,Underworld: Awakening,25306725,62321039,40.6,3078,Screen Gems,8221,2012
832,Public Enemies,25271675,97104620,26,3334,Universal Pictures,7579,2009
833,Patch Adams,25262280,135026902,18.7,2712,Universal Pictures,9315,1998
834,Date Night,25207599,98711404,25.5,3374,Twentieth Century Fox,7471,2010
835,Tomorrow Never Dies,25143007,125304276,20.1,2807,Metro-Goldwyn-Mayer (MGM),8957,1997
836,Meet the Robinsons,25123781,97822171,25.7,3413,Walt Disney Studios Motion Pictures,7361,2007
837,Master and Commander: The Far Side of the World,25105990,93927920,26.7,3101,Twentieth Century Fox,8096,2003
838,The Rock,25069525,134069511,18.7,2392,Walt Disney Studios Motion Pictures,10480,1996
839,Madea's Big Happy Family,25068677,53345287,47,2288,Lionsgate,10956,2011
840,Dr. Dolittle 2,25037039,112952899,22.2,3049,Twentieth Century Fox,8211,2001
841,Blue Beetle,25030225,72488072,34.5,3871,Warner Bros.,6466,2023
842,Vanilla Sky,25015518,100618344,24.9,2742,Paramount Pictures,9123,2001
843,Peter Rabbit,25010928,115253424,21.7,3725,Sony Pictures Releasing,6714,2018
844,Jack and Jill,25003575,74158157,33.7,3438,Sony Pictures Releasing,7272,2011
845,Skyscraper,24905015,68420120,36.4,3782,Universal Pictures,6585,2018
846,Flight,24900566,93772375,26.6,1884,Paramount Pictures,13216,2012
847,White House Down,24852258,73103784,34,3222,Sony Pictures Releasing,7713,2013
848,A Good Day to Die Hard,24834845,67349198,36.9,3553,Twentieth Century Fox,6989,2013
849,True Grit,24830443,171243005,14.5,3047,Paramount Pictures,8149,2010
850,The Call of the Wild,24791624,62342368,39.8,3752,20th Century Studios,6607,2020
851,The Other Woman,24763752,83911193,29.5,3205,Twentieth Century Fox,7726,2014
852,Predators,24760882,52000688,47.6,2669,Twentieth Century Fox,9277,2010
853,Zombieland,24733155,75590286,32.7,3036,Sony Pictures Releasing,8146,2009
854,10 Cloverfield Lane,24727437,72082998,34.3,3391,Paramount Pictures,7292,2016
855,Taken,24717037,145000989,17,3183,Twentieth Century Fox,7765,2009
856,The Accountant,24710273,86260045,28.6,3332,Warner Bros.,7416,2016
857,Collateral,24701458,101005703,24.5,3188,DreamWorks Distribution,7748,2004
858,Congo,24642539,81022101,30.4,2649,Paramount Pictures,9302,1995
859,The Butler,24637312,116632095,21.1,2933,The Weinstein Company,8400,2013
860,The Predator,24632284,51024708,48.3,4037,Twentieth Century Fox,6101,2018
861,Flightplan,24629938,89707299,27.5,3424,Walt Disney Studios Motion Pictures,7193,2005
862,Transformers One,24613970,59098421,41.6,3978,Paramount Pictures,6187,2024
863,Knowing,24604751,79957634,30.8,3332,Summit Entertainment,7384,2009
864,Christopher Robin,24585139,99215042,24.8,3602,Walt Disney Studios Motion Pictures,6825,2018
865,Eraser,24566446,101295562,24.2,2410,Warner Bros.,10193,1996
866,The Girl on the Train,24536265,75395035,32.5,3144,Universal Pictures,7804,2016
867,The Accountant 2,24533959,65523366,37.4,3610,Amazon MGM Studios,6796,2025
868,The Emoji Movie,24531923,86089513,28.5,4075,Sony Pictures Releasing,6020,2017
869,Evil Dead Rise,24504315,67233054,36.4,3402,Warner Bros.,7202,2023
870,Pet Sematary,24502775,54724696,44.8,3585,Paramount Pictures,6834,2019
871,Ballerina,24501663,58051327,42.2,3409,Lionsgate,7187,2025
872,Act of Valor,24476632,70012847,35,3039,Relativity Media,8054,2012
873,Forrest Gump,24450602,329694499,7.4,1595,Paramount Pictures,15329,1994
874,Mean Girls,24432195,86058055,28.4,2839,Paramount Pictures,8605,2004
875,Failure to Launch,24411322,88715192,27.5,3057,Paramount Pictures,7985,2006
876,Race to Witch Mountain,24402214,67172594,36.3,3187,Walt Disney Studios Motion Pictures,7656,2009
877,Contraband,24349815,66528000,36.6,2863,Universal Pictures,8505,2012
878,The Chronicles of Riddick,24289165,57761012,42,2757,Universal Pictures,8809,2004
879,The Haunted Mansion,24278410,75847266,32,3122,Walt Disney Studios Motion Pictures,7776,2003
880,The Last Samurai,24271354,111127263,21.8,2908,Warner Bros.,8346,2003
881,TMNT,24255205,54149098,44.8,3110,Warner Bros.,7799,2007
882,No Good Deed,24250283,52543632,46.2,2175,Screen Gems,11149,2014
883,Barbershop 2: Back in Business,24241612,65111277,37.2,2711,Metro-Goldwyn-Mayer (MGM),8941,2004
884,"Me, Myself & Irene",24209385,90570999,26.7,3019,Twentieth Century Fox,8019,2000
885,The Addams Family,24203754,113502426,21.3,2411,Paramount Pictures,10038,1991
886,Coach Carter,24182961,67264877,36,2524,Paramount Pictures,9581,2005
887,Maze Runner: The Death Cure,24167011,58032443,41.6,3787,Twentieth Century Fox,6381,2018
888,Warcraft,24166110,47365290,51,3400,Universal Pictures,7107,2016
889,Con Air,24131738,101117573,23.9,2824,Walt Disney Studios Motion Pictures,8545,1997
890,Exodus: Gods and Kings,24115934,65014513,37.1,3503,Twentieth Century Fox,6884,2014
891,White Noise,24113565,56386759,42.8,2261,Universal Pictures,10665,2005
892,21,24105943,81159365,29.7,2648,Sony Pictures Releasing,9103,2008
893,The Conjuring: The Devil Made Me Do It,24104332,65631050,36.7,3102,Warner Bros.,7770,2021
894,Haunted Mansion,24082475,67653287,35.6,3740,Walt Disney Studios Motion Pictures,6439,2023
895,Arrival,24074047,100546139,23.9,2317,Paramount Pictures,10390,2016
896,Tower Heist,24025190,78046570,30.8,3367,Universal Pictures,7135,2011
897,Pixels,24011616,78747585,30.5,3723,Sony Pictures Releasing,6449,2015
898,The Garfield Movie,24006629,91956547,26.1,4035,Sony Pictures Releasing,5949,2024
899,The Chronicles of Narnia: The Voyage of the Dawn Treader,24005069,104386950,23,3555,Twentieth Century Fox,6752,2010
900,Monster-in-Law,24000000,82931301,28.9,3424,New Line Cinema,7009,2005
901,The Fast and the Furious: Tokyo Drift,23973840,62514415,38.4,3027,Universal Pictures,7920,2006
902,The Bad Guys,23950245,97459240,24.6,4008,Universal Pictures,5975,2022
903,Fahrenheit 9/11,23920637,119194771,20.1,868,Lionsgate,27558,2004
904,Captain Underpants: The First Epic Movie,23851539,73921000,32.3,3434,Twentieth Century Fox,6945,2017
905,Bad Moms,23817340,113257297,21,3215,STX Entertainment,7408,2016
906,The Town,23808032,92186262,25.8,2861,Warner Bros.,8321,2010
907,How to Lose a Guy in 10 Days,23774850,105813373,22.5,2923,Paramount Pictures,8133,2003
908,Rise of the Guardians,23773465,103412758,23,3653,DreamWorks,6507,2012
909,Paul Blart: Mall Cop 2,23762435,71038190,33.4,3633,Sony Pictures Releasing,6540,2015
910,The Fugitive,23758855,183875760,12.9,2340,Warner Bros.,10153,1993
911,Diary of a Wimpy Kid: Rodrick Rules,23751502,52698535,45.1,3167,Twentieth Century Fox,7499,2011
912,17 Again,23722310,64167069,37,3255,Warner Bros.,7287,2009
913,Fury,23702421,85817906,27.6,3173,Sony Pictures Releasing,7470,2014
914,Resident Evil: Extinction,23678580,50648679,46.8,2828,Screen Gems,8372,2007
915,Tomb Raider,23633317,58250803,40.6,3854,Warner Bros.,6132,2018
916,The Black Phone,23633220,90123230,26.2,3150,Universal Pictures,7502,2022
917,Open Season,23624548,85105259,27.8,3833,Sony Pictures Releasing,6163,2006
918,Goosebumps,23618556,80080379,29.5,3501,Sony Pictures Releasing,6746,2015
919,The Boss,23586645,63285885,37.3,3480,Universal Pictures,6777,2016
920,Dinner for Schmucks,23527839,73026337,32.2,2911,DreamWorks,8082,2010
921,Mary Poppins Returns,23523121,171958438,13.7,4090,Walt Disney Studios Motion Pictures,5751,2018
922,Dracula Untold,23514615,56280355,41.8,2885,Universal Pictures,8150,2014
923,The Amityville Horror,23507007,65233369,36,3323,Metro-Goldwyn-Mayer (MGM),7074,2005
924,Be Cool,23450212,56046979,41.8,3216,Metro-Goldwyn-Mayer (MGM),7291,2005
925,I Can Do Bad All by Myself,23446785,51733921,45.3,2255,Lionsgate,10397,2009
926,Save the Last Dance,23444930,91057006,25.8,2230,Paramount Pictures,10513,2001
927,Once Upon a Time in Mexico,23424118,56359780,41.6,3282,Sony Pictures Releasing,7137,2003
928,Face/Off,23387530,112276146,20.8,2621,Paramount Pictures,8923,1997
929,The Taking of Pelham 123,23373102,65452312,35.7,3074,Sony Pictures Releasing,7603,2009
930,The Polar Express,23323463,162775358,14.3,3650,Warner Bros.,6389,2004
931,Mortal Kombat,23302503,42326031,55,3073,Warner Bros.,7582,2021
932,Mortal Kombat,23283887,70454098,33,2421,New Line Cinema,9617,1995
933,Cocaine Bear,23260790,64670240,36,3534,Universal Pictures,6582,2023
934,Killers of the Flower Moon,23253655,68035488,34.2,3628,Paramount Pictures,6409,2023
935,Pineapple Express,23245025,87341380,26.6,3072,Sony Pictures Releasing,7566,2008
936,Alvin and the Chipmunks: Chipwrecked,23244744,133110742,17.5,3723,Twentieth Century Fox,6243,2011
937,Eragon,23239907,75030163,31,3020,Twentieth Century Fox,7695,2006
938,This Is It,23234394,72091016,32.2,3481,Sony Pictures Releasing,6674,2009
939,Hellboy,23172440,59623958,38.9,3028,Revolution Studios,7652,2004
940,Double Jeopardy,23162542,116741558,19.8,2547,Paramount Pictures,9094,1999
941,Jackass Forever,23154388,57743451,40.1,3604,Paramount Pictures,6424,2022
942,The Mask,23117068,119938730,19.3,2360,New Line Cinema,9795,1994
943,Star Trek: Generations,23116394,75671125,30.6,2659,Paramount Pictures,8693,1994
944,Eat Pray Love,23104523,80574010,28.7,3082,Sony Pictures Releasing,7496,2010
945,The League of Extraordinary Gentlemen,23075892,66465204,34.7,3002,Twentieth Century Fox,7686,2003
946,Smallfoot,23045635,83240103,27.7,4131,Warner Bros.,5578,2018
947,Resident Evil: Apocalypse,23036273,51201453,45,3284,Screen Gems,7014,2004
948,Smile 2,23021692,69012586,33.4,3619,Paramount Pictures,6361,2024
949,Star Wars: Episode VI - Return of the Jedi,23019618,252583617,9.1,1002,Twentieth Century Fox,22973,1983
950,27 Dresses,23007725,76808654,30,3057,Twentieth Century Fox,7526,2008
951,The Haunting in Connecticut,23004765,55389516,41.5,2732,Lionsgate,8420,2009
952,DC League of Super-Pets,23003441,93657117,24.6,4314,Warner Bros.,5332,2022
953,The Princess Diaries 2: Royal Engagement,22956453,95170481,24.1,3472,Walt Disney Studios Motion Pictures,6611,2004
954,The Game Plan,22950971,90648202,25.3,3103,Walt Disney Studios Motion Pictures,7396,2007
955,Vantage Point,22874936,72266306,31.6,3149,Sony Pictures Releasing,7264,2008
956,Jack Reacher: Never Go Back,22872490,58697076,39,3780,Paramount Pictures,6050,2016
957,The Princess Diaries,22862269,108248956,21.1,2537,Walt Disney Studios Motion Pictures,9011,2001
958,Mission to Mars,22855247,60883407,37.5,3054,Walt Disney Studios Motion Pictures,7483,2000
959,The Interpreter,22822455,72708161,31.4,2758,Universal Pictures,8275,2005
960,PAW Patrol: The Mighty Movie,22764354,65343309,34.8,3989,Paramount Pictures,5706,2023
961,Jackass: The Movie,22763437,64255312,35.4,2509,Paramount Pictures,9072,2002
962,Man on Fire,22751490,77911774,29.2,2980,Twentieth Century Fox,7634,2004
963,Mulan,22745143,120620254,18.9,2888,Walt Disney Studios Motion Pictures,7875,1998
964,Rugrats in Paris,22718184,76507756,29.7,2934,Paramount Pictures,7743,2000
965,Insidious: Chapter 3,22692741,52218558,43.5,3002,Focus Features,7559,2015
966,Unstoppable,22688457,81562942,27.8,3207,Twentieth Century Fox,7074,2010
967,Funny People,22657780,51855045,43.7,3007,Universal Pictures,7535,2009
968,Black Mass,22635037,62575678,36.2,3188,Warner Bros.,7100,2015
969,Poltergeist,22620386,47425125,47.7,3240,Twentieth Century Fox,6981,2015
970,The Time Machine,22610437,56832494,39.8,2944,DreamWorks Distribution,7680,2002
971,Smile,22609925,105935048,21.3,3645,Paramount Pictures,6202,2022
972,Bridge to Terabithia,22564612,82272442,27.4,3139,Walt Disney Studios Motion Pictures,7188,2007
973,Training Day,22550788,76631907,29.4,2712,Warner Bros.,8315,2001
974,Dick Tracy,22543911,103738726,21.7,2332,Walt Disney Studios Motion Pictures,9667,1990
975,Saw 3D,22530123,45710178,49.3,2808,Lionsgate,8023,2010
976,The Mask of Zorro,22525855,94095523,23.9,2515,Sony Pictures Releasing,8956,1998
977,Heaven Is for Real,22522221,91443253,24.6,2417,TriStar Pictures,9318,2014
978,The Lucky One,22518358,60457138,37.2,3155,Warner Bros.,7137,2012
979,Shallow Hal,22518295,70839203,31.8,2770,Twentieth Century Fox,8129,2001
980,Star Wars: Episode I - The Phantom Menace,22469932,43458335,51.7,2655,Twentieth Century Fox,8463,2012
981,Life of Pi,22451514,124987023,18,2927,Twentieth Century Fox,7670,2012
982,The Social Network,22445653,96962694,23.2,2771,Sony Pictures Releasing,8100,2010
983,The Patriot,22413710,113330342,19.8,3061,Sony Pictures Releasing,7322,2000
984,Contagion,22403596,75658097,29.6,3222,Warner Bros.,6953,2011
985,Longlegs,22400119,74346140,30.1,2510,Neon,8924,2024
986,Now You See Me 2,22383146,65075540,34.4,3232,Lionsgate,6925,2016
987,Walk the Line,22347341,119519402,18.7,2961,Twentieth Century Fox,7547,2005
988,The General's Daughter,22332053,102705852,21.7,2856,Paramount Pictures,7819,1999
989,Sing 2,22326230,162790990,13.7,3892,Universal Pictures,5736,2021
990,Planes,22232291,90288712,24.6,3702,Walt Disney Studios Motion Pictures,6005,2013
991,Disturbia,22224982,80209692,27.7,2925,DreamWorks,7598,2007
992,"Legally Blonde 2: Red, White & Blonde",22220670,90186328,24.6,3350,Metro-Goldwyn-Mayer (MGM),6633,2003
993,Monster House,22217226,73661010,30.2,3553,Sony Pictures Releasing,6253,2006
994,Freaky Friday,22203007,110230332,20.1,2954,Walt Disney Studios Motion Pictures,7516,2003
995,Kill Bill: Vol. 1,22200000,70099045,31.7,3102,Miramax,7156,2003
996,Die Hard with a Vengeance,22162245,100012499,22.2,2525,Twentieth Century Fox,8777,1995
997,Poseidon,22155410,60674817,36.5,3555,Warner Bros.,6232,2006
998,Diary of a Wimpy Kid,22126166,64003625,34.6,3077,Twentieth Century Fox,7190,2010
999,Ghost Rider: Spirit of Vengeance,22115334,51774002,42.7,3174,Sony Pictures Releasing,6967,2012
"1,000",It's Complicated,22100820,112735375,19.6,2887,Universal Pictures,7655,2009
